id,name,Anzahl Personen,Musiklabel,fans,type
L,Leoniden,5,Irrsinn Tonträger / Two Peace Signs Records,,
V,Von Wegen Lisbeth,5,"2014 Chateau Lala, 2016 Sony Music, 2019-2020 Columbia",,
R,Rikas,4,Columbia,,
B,Blond,3,2016/17 Atomino Tonträger/ Broken Silence ,,
S,Shelter Boy,1,2019 ZG5000 Records,,2020 Filter Music Group
K,KUMMER,1,2019 Kummer & Eklat Tonträger,,
D,Drangsal ,1,2018 Caroline International (?),,
F,Fibel,4,"2017 recordJet, 2018 Downbeat Records",,
M,Mia Morgan,1,Beat the Rich!,,
C,CHILDREN,5,Grönland Records,,