from,to,weight,time
HP,RW,3,1991
HP,HG,3,1991
HP,RH,3,1991
HP,AD,2,1991
RW,HG,3,1991
RW,RH,2,1991
RW,AD,2,1991
RW,HP,3,1991
HG,RH,2,1991
HG,AD,2,1991
HG,HP,3,1991
HG,RW,3,1991
RH,VC,1,1991
RH,GG,1,1991
RH,SS,1,1991
RH,AD,3,1991
RH,HP,3,1991
RH,RW,2,1991
RH,HG,2,1991
AD,DM,2,1991
AD,SS,2,1991
AD,RH,3,1991
AD,HG,2,1991
AD,RW,2,1991
AD,HP,2,1991
SS,VC,1,1991
SS,AD,2,1991
SS,DM,2,1991
SS,GG,1,1991
DM,GG,3,1991
DM,VC,3,1991
DM,SS,2,1991
DM,AD,1,1991
GG,VC,3,1991
GG,RH,1,1991
GG,SS,1,1991
GG,DM,3,1991
GG,AD,1,1991
VC,GG,3,1991
VC,DM,3,1991
VC,SS,1,1991
VC,RH,1,1991
VC,AD,1,1991